2,3
29,3
32,11
210,-9999
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
3,36
4,36
5,36
6,36
7,36
8,36
9,36
10,36
11,36
12,36
13,36
14,36
15,36
16,36
17,36
18,36
19,36
20,36
21,36
22,36
23,36
24,36
25,36
26,36
27,36
27,35
27,34
28,34
28,33
28,32
28,31
28,30
28,29
28,28
28,27
28,26
28,25
28,24
28,23
28,22
28,21
28,20
28,19
28,18
28,17
28,16
28,15
28,14
28,13
28,12
28,11
28,10
28,9
28,8
28,7
28,6
29,6
30,6
31,6
32,6
33,6
34,6
35,6
36,6
36,7
36,8
36,9
36,10
36,11
36,12
36,13
35,13
34,13
33,13
33,12
33,11
33,10
33,9
32,9
32,10
32,11
17,35
17,34
18,34
19,34
20,34
21,34
22,34
23,34
24,34
25,34
26,34
27,34
28,34
29,34
30,34
31,34
32,34
32,33
32,32
32,31
31,31
30,31
30,30
30,29
30,28
30,27
30,26
30,25
30,24
30,23
29,23
28,23
27,23
26,23
25,23
24,23
23,23
23,22
23,21
23,20
23,19
23,18
23,17
23,16
24,16
24,15
25,15
26,15
27,15
28,15
29,15
30,15
31,15
32,15
33,15
34,15
35,15
36,15
37,15
38,15
39,15
40,15
41,15
42,15
43,15
44,15
45,15
45,14
45,13
45,12
44,12
44,11
44,10
43,10
42,10
41,10
40,10
40,9
40,8
40,7
40,6
40,5
39,5
38,5
38,4
38,3
37,3
36,3
35,3
34,3
33,3
32,3
31,3
30,3
29,3
127,-9999
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
3,29
4,29
5,29
6,29
7,29
8,29
9,29
10,29
11,29
12,29
13,29
14,29
15,29
16,29
17,29
18,29
19,29
20,29
21,29
22,29
22,28
22,27
22,26
22,25
22,24
22,23
22,22
22,21
22,20
22,19
22,18
22,17
23,17
24,17
25,17
26,17
27,17
28,17
29,17
30,17
31,17
32,17
32,16
32,15
32,14
32,13
32,12
32,11
3,28
3,27
3,26
3,25
3,24
3,23
3,22
3,21
3,20
3,19
3,18
3,17
3,16
3,15
4,15
5,15
6,15
7,15
8,15
9,15
10,15
11,15
12,15
13,15
14,15
15,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
25,15
26,15
27,15
28,15
28,14
28,13
28,12
28,11
28,10
28,9
28,8
28,7
28,6
28,5
28,4
28,3
29,3
53,-9999
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
9,2
9,1
9,0
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
29,0
29,1
29,2
29,3
29,4
29,5
29,6
29,7
30,7
31,7
32,7
33,7
34,7
35,7
35,8
35,9
35,10
35,11
34,11
33,11
32,11
74,-9999
2,3
3,3
